"Address","Occurrences","H1-1","H1-1 Length","Indexability","Indexability Status"
"https://nmgtechnologies.com/blog/tag/events","1","Make Your Software Development Journey Easy!","44","Indexable",""
"https://nmgtechnologies.com/blog","1","Make Your Software Development Journey Easy!","44","Indexable",""
"https://nmgtechnologies.com/work/web/","1","Trusted By B2B Businesses","25","Indexable",""
"https://nmgtechnologies.com/work/mobile/","1","Trusted By B2B Businesses","25","Indexable",""
"https://nmgtechnologies.com/work/advanced-seo/","1","Trusted By B2B Businesses","25","Indexable",""
"https://nmgtechnologies.com/blog/author/nishtha","1","Make Your Software Development Journey Easy!","44","Indexable",""
"https://nmgtechnologies.com/work/ecommerce/","1","Trusted By B2B Businesses","25","Indexable",""
"https://nmgtechnologies.com/blog/tag/featured","1","Make Your Software Development Journey Easy!","44","Indexable",""
"https://nmgtechnologies.com/blog/tag/technology","1","Make Your Software Development Journey Easy!","44","Indexable",""
"https://nmgtechnologies.com/blog/tag/web","1","Make Your Software Development Journey Easy!","44","Indexable",""
"https://nmgtechnologies.com/blog/tag/design","1","Make Your Software Development Journey Easy!","44","Indexable",""
"https://nmgtechnologies.com/blog/tag/outsourcing","1","Make Your Software Development Journey Easy!","44","Indexable",""
"https://nmgtechnologies.com/blog/tag/growth","1","Make Your Software Development Journey Easy!","44","Indexable",""
"https://nmgtechnologies.com/blog/tag/mobile","1","Make Your Software Development Journey Easy!","44","Indexable",""
"https://nmgtechnologies.com/success-stories","1","Success Stories","15","Indexable",""
"https://nmgtechnologies.com/clients/case-studies/","1","Success Stories","15","Indexable",""
"https://nmgtechnologies.com/blog/tag/marketing","1","Make Your Software Development Journey Easy!","44","Indexable",""
"https://nmgtechnologies.com/blog/tag/search-engine-optimization","1","Make Your Software Development Journey Easy!","44","Indexable",""
