"Address","Content Type","IMG Inlinks","Indexability","Indexability Status","Dimensions"
"https://nmgtechnologies.com/hubfs/schedule-call.png","image/png","90","Indexable","",""
"https://nmgtechnologies.com/hubfs/koora-break-banner.png","image/png","40","Indexable","",""
"https://nmgtechnologies.com/hubfs/softwave-banner-blog.jpg","image/jpeg","41","Indexable","",""
"https://nmgtechnologies.com/hs-fs/hubfs/travel.jpg?width=600&height=400&name=travel.jpg","image/jpeg","11","Indexable","",""
"https://nmgtechnologies.com/hs-fs/hubfs/epic-mobile.png?width=400&height=218&name=epic-mobile.png","image/png","1","Indexable","",""
"https://nmgtechnologies.com/hubfs/nmg%20logo.png","image/png","21","Non-Indexable","noindex",""
"https://nmgtechnologies.com/hubfs/MicrosoftTeams-image%20(82).png","image/png","3","Indexable","",""
"https://nmgtechnologies.com/hubfs/Startup-India-Event-2016-–-Key-Highlights_.jpg","image/jpeg","1","Indexable","",""
"https://nmgtechnologies.com/hubfs/SEMPO-Hangouts-Session-–-Web-Design-and-User-Experience.png","image/png","1","Indexable","",""
"https://nmgtechnologies.com/hubfs/retail-innovation-1.png","image/png","3","Indexable","",""
"https://nmgtechnologies.com/hubfs/leap-2023.jpg","image/jpeg","3","Indexable","",""
"https://nmgtechnologies.com/hubfs/hero-banner.png","image/png","3","Indexable","",""
"https://nmgtechnologies.com/hs-fs/hubfs/competiscan-screen1-2.png?width=470&height=568&name=competiscan-screen1-2.png","image/png","1","Indexable","",""
"https://nmgtechnologies.com/hubfs/process-img2.png","image/png","1","Indexable","",""
"https://nmgtechnologies.com/hubfs/website-images/contact-right-img.png","image/png","1","Indexable","",""
"https://nmgtechnologies.com/hs-fs/hubfs/service-pic.jpg?width=692&height=837&name=service-pic.jpg","image/jpeg","2","Indexable","",""
"https://nmgtechnologies.com/hs-fs/hubfs/Dedicated%20Team%20Setup.png?width=1400&height=1400&name=Dedicated%20Team%20Setup.png","image/png","4","Indexable","",""
"https://nmgtechnologies.com/hs-fs/hubfs/atlys-screen3.png?width=443&height=536&name=atlys-screen3.png","image/png","1","Indexable","",""
"https://nmgtechnologies.com/hubfs/empowering-pic.png","image/png","1","Indexable","",""
"https://nmgtechnologies.com/hubfs/website-images/plane-image.png","image/png","1","Indexable","",""
"https://nmgtechnologies.com/hubfs/Internationalcitizensinsurance.jpg","image/jpeg","1","Indexable","",""
"https://nmgtechnologies.com/hubfs/choice-bg.jpg","image/jpeg","10","Indexable","",""
"https://nmgtechnologies.com/hubfs/about-banner%20(1).webp","image/webp","28","Indexable","",""
